x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.1636191,53.524004,6.49791E+18,50,0,1,0,0,0.25,0.25,0.5,1,2
-2.163626,53.5258017,8.28949E+18,80,1,0,0,0,0.25,0.25,0.5,1,2
-2.2699973,53.4114549,8.39059E+18,59,7,7,6,7,6.75,0.25,0.5,0.037037037,0.074074074
-2.2702254,53.4474085,-4.30674E+18,126,0,0,0,1,0.25,0.25,0.5,1,2
-2.1620523,53.5087259,6.62793E+17,105,2,1,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2684816,53.4096606,8.54946E+18,24,2,0,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2686687,53.4393224,7.93244E+18,75,0,2,0,0,0.5,1,1,2,2
-2.1605513,53.5105256,4.367E+18,168,0,1,0,0,0.25,0.25,0.5,1,2
-2.1605819,53.5186151,-7.57415E+18,63,0,1,0,0,0.25,0.25,0.5,1,2
-2.159202,53.5527727,-5.08998E+18,63,1,0,0,0,0.25,0.25,0.5,1,2
-2.2654786,53.4105662,5.19098E+18,27,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2655627,53.4240488,-1.22225E+18,56,3,0,1,5,2.25,4.916666667,2.217355783,2.185185185,0.985491459
-2.2655851,53.4276442,1.4108E+18,76,1,2,2,1,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2655907,53.428543,3.6548E+18,81,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2657703,53.4573059,-4.89343E+18,163,1,0,0,0,0.25,0.25,0.5,1,2
-2.1574955,53.4997436,7.7366E+18,77,0,0,0,1,0.25,0.25,0.5,1,2
-2.1575122,53.5042378,4.22528E+18,44,0,1,0,0,0.25,0.25,0.5,1,2
-2.1575656,53.5186191,-2.24513E+18,76,0,1,0,0,0.25,0.25,0.5,1,2
-2.1575723,53.5204168,-4.79441E+17,49,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2640411,53.4213556,-2.2872E+18,92,2,4,3,8,4.25,6.916666667,2.62995564,1.62745098,0.618813092
-2.2640579,53.4240521,-9.01206E+18,82,4,2,4,4,3.5,1,1,0.285714286,0.285714286
-2.2642252,53.4510174,7.8692E+17,139,0,1,0,0,0.25,0.25,0.5,1,2
-2.2642923,53.4618034,6.62041E+18,214,0,0,0,1,0.25,0.25,0.5,1,2
-2.1560674,53.5213176,-2.63468E+18,74,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1561733,53.5500802,-7.48075E+18,92,0,0,1,0,0.25,0.25,0.5,1,2
-2.2625641,53.4258532,6.73207E+16,65,3,4,4,1,3,2,1.414213562,0.666666667,0.471404521
-2.2626362,53.4375381,1.45525E+18,15,1,0,0,0,0.25,0.25,0.5,1,2
-2.2626973,53.4474253,-2.2952E+18,243,0,1,0,0,0.25,0.25,0.5,1,2
-2.154438,53.4880626,-7.55353E+18,96,0,0,1,0,0.25,0.25,0.5,1,2
-2.1545165,53.5096347,-3.43436E+18,101,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1545755,53.5258138,2.54345E+18,85,1,0,0,0,0.25,0.25,0.5,1,2
-2.1546148,53.5365998,5.5256E+18,15,0,1,0,0,0.25,0.25,0.5,1,2
-2.1529698,53.4988506,5.82821E+18,39,0,0,0,1,0.25,0.25,0.5,1,2
-2.1529989,53.5069402,-2.66953E+18,49,0,1,0,0,0.25,0.25,0.5,1,2
-2.1530606,53.524018,-9.14252E+18,116,1,0,0,0,0.25,0.25,0.5,1,2
-2.1530703,53.5267145,3.46059E+18,60,0,2,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.1530736,53.5276134,6.22823E+18,34,0,0,0,1,0.25,0.25,0.5,1,2
-2.153158,53.550983,-4.8121E+18,108,2,0,0,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.1514687,53.5006502,-7.73128E+18,73,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1514848,53.5051444,3.84615E+18,44,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1515201,53.5150316,-2.96291E+18,118,0,0,0,1,0.25,0.25,0.5,1,2
-2.1515747,53.5303118,3.40089E+18,101,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.1515844,53.5330083,-2.11972E+18,66,0,1,0,0,0.25,0.25,0.5,1,2
-2.2610317,53.4213622,-5.73525E+18,85,4,1,3,3,2.75,1.583333333,1.258305739,0.575757576,0.457565723
-2.2610979,53.4321483,1.42749E+18,9,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2611475,53.4402379,-8.33282E+18,69,0,0,1,0,0.25,0.25,0.5,1,2
-2.261164,53.4429344,-8.82842E+18,63,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2611861,53.4465298,6.5784E+18,76,0,0,0,1,0.25,0.25,0.5,1,2
-2.2613463,53.4725961,-5.89487E+18,687,1,0,0,0,0.25,0.25,0.5,1,2
-2.2595215,53.4204667,6.06236E+18,19,0,1,0,0,0.25,0.25,0.5,1,2
-2.2595489,53.4249609,7.8646E+18,30,3,0,0,2,1.25,2.25,1.5,1.8,1.2
-2.2596586,53.4429377,-6.28078E+18,28,0,0,0,1,0.25,0.25,0.5,1,2
-2.2597958,53.4654087,8.19894E+18,186,0,0,0,1,0.25,0.25,0.5,1,2
-2.1499675,53.5024498,7.39469E+18,89,0,0,2,0,0.5,1,1,2,2
-2.1500884,53.5366055,2.14057E+18,69,1,0,0,0,0.25,0.25,0.5,1,2
-2.1500916,53.5375044,8.98923E+18,58,1,0,0,0,0.25,0.25,0.5,1,2
-2.1484694,53.5051482,-2.2343E+18,81,1,0,0,0,0.25,0.25,0.5,1,2
-2.2580386,53.4240653,6.49064E+18,18,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.1485418,53.5258214,3.16887E+18,107,0,0,1,0,0.25,0.25,0.5,1,2
-2.148608,53.5446969,-8.03694E+18,72,0,1,0,0,0.25,0.25,0.5,1,2
-2.148649,53.5563817,7.78325E+18,27,1,0,0,0,0.25,0.25,0.5,1,2
-2.2565176,53.421372,5.1081E+18,84,2,1,5,2,2.5,3,1.732050808,1.2,0.692820323
-2.2566476,53.4429442,-4.20519E+18,38,0,0,2,0,0.5,1,1,2,2
-2.2566639,53.4456408,1.65185E+18,46,0,0,1,0,0.25,0.25,0.5,1,2
-2.1470552,53.5321151,-1.18842E+18,107,1,0,2,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.1470739,53.5375081,-4.959E+18,51,0,0,0,1,0.25,0.25,0.5,1,2
-2.147077,53.5384069,-2.42802E+17,49,1,0,0,0,0.25,0.25,0.5,1,2
-2.1470926,53.5429011,1.77968E+18,51,0,0,1,0,0.25,0.25,0.5,1,2
-2.2550344,53.4249706,-5.42992E+18,25,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.1454663,53.5087473,6.60926E+18,72,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1454725,53.5105449,-8.08914E+18,84,0,0,1,0,0.25,0.25,0.5,1,2
-2.1455342,53.5285216,5.82456E+18,40,0,0,1,0,0.25,0.25,0.5,1,2
-2.2535188,53.4231761,4.93582E+18,38,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2537064,53.4546356,-8.16335E+18,136,1,0,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.1424688,53.5141439,-1.8271E+18,79,0,0,2,0,0.5,1,1,2,2
-2.2521472,53.4456504,-9.11648E+18,16,1,0,0,0,0.25,0.25,0.5,1,2
-2.2521525,53.4465492,-6.49236E+18,72,0,1,0,0,0.25,0.25,0.5,1,2
-2.2522218,53.4582341,1.70791E+18,136,0,1,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2523338,53.4771097,-1.15836E+18,111,0,1,0,0,0.25,0.25,0.5,1,2
-2.1394972,53.52763,-4.97834E+18,128,0,1,0,0,0.25,0.25,0.5,1,2
-2.2505093,53.4231825,6.62868E+18,22,0,0,1,0,0.25,0.25,0.5,1,2
-2.2506522,53.4474512,2.81848E+17,53,0,2,0,2,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2506999,53.4555408,-5.61555E+18,108,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2507052,53.4564396,6.80516E+17,86,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2820381,53.4123259,4.52127E+18,102,0,1,0,0,0.25,0.25,0.5,1,2
-2.2805101,53.408734,3.80376E+18,58,3,2,5,3,3.25,1.583333333,1.258305739,0.487179487,0.387170997
-2.2805337,53.4123294,6.28678E+18,35,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2491044,53.4402637,3.44301E+18,45,0,0,0,1,0.25,0.25,0.5,1,2
-2.2491202,53.4429602,-4.23253E+18,10,1,0,0,0,0.25,0.25,0.5,1,2
-2.2493732,53.4861044,1.29483E+18,85,0,0,1,0,0.25,0.25,0.5,1,2
-2.2474945,53.4222899,9.09802E+17,55,0,0,1,0,0.25,0.25,0.5,1,2
-2.2475259,53.427683,-7.12891E+18,258,3,2,2,5,3,2,1.414213562,0.666666667,0.471404521
-2.2475572,53.4330761,-8.9952E+18,42,1,1,0,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2476357,53.4465587,-5.54317E+18,99,1,0,2,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2476776,53.4537494,-1.90096E+18,58,0,0,1,0,0.25,0.25,0.5,1,2
-2.2476828,53.4546482,7.80247E+18,103,0,0,0,1,0.25,0.25,0.5,1,2
-2.247688,53.4555471,1.77554E+18,108,2,4,1,0,1.75,2.916666667,1.707825128,1.666666667,0.975900073
-2.2835605,53.4150188,-3.27388E+18,83,0,1,0,0,0.25,0.25,0.5,1,2
-2.2775015,53.4087411,5.36314E+18,63,23,20,17,23,20.75,8.25,2.872281323,0.397590361,0.138423196
-2.1364976,53.5330265,-6.08849E+18,216,1,0,0,0,0.25,0.25,0.5,1,2
-2.2820143,53.4087305,-6.31901E+18,80,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2460001,53.4240907,5.61204E+18,93,0,0,0,1,0.25,0.25,0.5,1,2
-2.2460261,53.428585,5.5077E+18,125,4,3,0,1,2,3.333333333,1.825741858,1.666666667,0.912870929
-2.2460521,53.4330792,-8.60753E+17,45,0,1,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.246255,53.4681339,2.81531E+18,132,0,0,0,1,0.25,0.25,0.5,1,2
-2.2790117,53.4096364,3.22228E+18,39,3,3,2,3,2.75,0.25,0.5,0.090909091,0.181818182
-2.2760147,53.4114411,-3.06652E+18,63,8,11,12,5,9,10,3.16227766,1.111111111,0.351364184
-2.2775191,53.4114376,-5.01517E+18,48,1,6,5,4,4,4.666666667,2.160246899,1.166666667,0.540061725
-2.2775367,53.4141341,-4.45402E+18,6,0,0,0,1,0.25,0.25,0.5,1,2
-2.2746727,53.4366121,-8.67152E+18,152,0,0,0,1,0.25,0.25,0.5,1,2
-2.2746901,53.4393087,-3.81354E+18,142,0,0,0,1,0.25,0.25,0.5,1,2
-2.1350548,53.5537013,4.14229E+18,50,0,0,2,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2445057,53.4258915,-2.72111E+18,48,1,0,0,0,0.25,0.25,0.5,1,2
-2.244516,53.4276892,-4.01967E+18,39,1,0,0,0,0.25,0.25,0.5,1,2
-2.244547,53.4330823,-5.26128E+18,46,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2445625,53.4357788,-4.38101E+18,69,1,2,1,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2446452,53.4501602,5.92071E+18,72,3,1,0,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2446762,53.4555533,2.16844E+18,182,2,4,1,1,2,2,1.414213562,1,0.707106781
-2.2447486,53.468137,-5.36733E+17,21,0,0,1,0,0.25,0.25,0.5,1,2
-2.2448418,53.4843161,8.77433E+18,125,0,0,0,1,0.25,0.25,0.5,1,2
-2.2760089,53.4105423,5.16771E+16,65,11,17,15,13,14,6.666666667,2.581988897,0.476190476,0.184427778
-2.2762713,53.4509901,2.16102E+18,93,0,0,0,1,0.25,0.25,0.5,1,2
-2.274522,53.4132423,3.65458E+17,61,9,7,11,7,8.5,3.666666667,1.914854216,0.431372549,0.225276967
-2.133466,53.5285357,7.91002E+18,73,2,0,0,0,0.5,1,1,2,2
-2.1334689,53.5294346,-8.62567E+18,93,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1335312,53.5492089,7.26879E+18,211,0,0,1,0,0.25,0.25,0.5,1,2
-2.2430059,53.4267934,-5.68257E+18,127,0,0,1,0,0.25,0.25,0.5,1,2
-2.243011,53.4276923,1.57944E+18,124,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2431035,53.4438714,1.90168E+18,84,1,3,3,1,2,1.333333333,1.154700538,0.666666667,0.577350269
-2.2431497,53.451961,8.0964E+17,52,0,1,0,0,0.25,0.25,0.5,1,2
-2.2432577,53.4708366,-2.95833E+18,377,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2729887,53.4087515,-5.24237E+18,58,15,13,15,9,13,8,2.828427125,0.615384615,0.217571317
-2.271473,53.4069572,1.47187E+18,10,0,0,1,0,0.25,0.25,0.5,1,2
-2.2714787,53.4078561,7.37591E+18,58,5,3,2,1,2.75,2.916666667,1.707825128,1.060606061,0.621027319
-2.2715131,53.4132491,-3.90542E+18,30,3,2,4,1,2.5,1.666666667,1.290994449,0.666666667,0.516397779
-2.2716163,53.4294283,9.12472E+18,65,0,1,0,0,0.25,0.25,0.5,1,2
-2.2716278,53.431226,5.26819E+18,73,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2716909,53.4411132,4.05693E+17,89,0,1,0,0,0.25,0.25,0.5,1,2
-2.2414755,53.4223023,4.42652E+18,99,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2414806,53.4232011,-7.67672E+18,117,0,0,1,0,0.25,0.25,0.5,1,2
-2.2415163,53.429493,-1.25623E+18,70,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2415622,53.4375826,-1.84397E+18,118,3,5,1,0,2.25,4.916666667,2.217355783,2.185185185,0.985491459
-2.2416031,53.4447733,7.04948E+18,106,2,3,0,1,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2416592,53.4546606,4.34952E+18,199,0,2,2,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2416643,53.4555594,8.51388E+18,235,1,4,2,1,2,2,1.414213562,1,0.707106781
-2.2417359,53.4681432,-2.83366E+17,117,0,0,0,1,0.25,0.25,0.5,1,2
-2.1319491,53.5258409,-5.50329E+18,166,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1319631,53.5303351,-4.41592E+18,71,0,0,0,1,0.25,0.25,0.5,1,2
-2.2714845,53.4087549,-8.89259E+17,29,2,3,5,1,2.75,2.916666667,1.707825128,1.060606061,0.621027319
-2.2701113,53.4294317,4.50462E+18,55,0,1,2,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2401026,53.4456752,-8.71402E+18,86,2,1,0,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2401483,53.4537648,8.89583E+18,132,2,2,0,3,1.75,1.583333333,1.258305739,0.904761905,0.719031851
-2.1304961,53.5438192,4.84322E+17,206,1,0,0,0,0.25,0.25,0.5,1,2
-2.2699745,53.4078595,5.59212E+18,10,0,1,0,0,0.25,0.25,0.5,1,2
-2.2700999,53.427634,1.40107E+18,80,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2701741,53.439319,2.10385E+18,104,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2702197,53.4465097,-7.92815E+18,79,0,1,0,0,0.25,0.25,0.5,1,2
-2.2686574,53.4375247,8.5249E+17,125,2,0,0,0,0.5,1,1,2,2
-2.2684929,53.4114583,2.59387E+18,57,5,5,5,6,5.25,0.25,0.5,0.047619048,0.095238095
-2.2686517,53.4366258,5.94686E+17,23,0,0,1,0,0.25,0.25,0.5,1,2
-2.2384559,53.4205106,-4.52468E+18,38,0,0,1,0,0.25,0.25,0.5,1,2
-2.2385265,53.4330945,-2.98353E+18,78,0,0,1,0,0.25,0.25,0.5,1,2
-2.2385315,53.4339933,-3.28222E+18,63,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.238597,53.4456782,-3.21201E+18,148,2,1,3,2,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2670844,53.426742,-1.27076E+18,65,3,0,0,2,1.25,2.25,1.5,1.8,1.2
-2.26709,53.4276408,2.62638E+17,61,2,0,2,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2670957,53.4285397,-7.47987E+18,56,2,2,1,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2671521,53.4375281,6.74749E+18,86,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2370413,53.4366928,-3.08966E+18,68,0,3,1,0,1,2,1.414213562,2,1.414213562
-2.2669886,53.4114616,-8.90838E+18,15,0,1,0,0,0.25,0.25,0.5,1,2
-2.267107,53.4303373,-6.82622E+18,33,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2671126,53.4312362,-7.07695E+18,16,1,0,0,0,0.25,0.25,0.5,1,2
-2.2671182,53.432135,-6.18612E+18,68,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.1274969,53.5501143,-6.68593E+18,116,0,0,0,1,0.25,0.25,0.5,1,2
-2.2370964,53.4465801,6.34995E+18,123,3,1,2,1,1.75,0.916666667,0.957427108,0.523809524,0.547101204
-2.2371365,53.4537708,3.61931E+18,76,0,1,0,0,0.25,0.25,0.5,1,2
-2.2372469,53.4735452,-4.88999E+18,246,2,2,1,1,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2355411,53.4375946,-5.03033E+18,95,0,1,0,0,0.25,0.25,0.5,1,2
-2.2356008,53.4483807,3.66585E+17,102,2,3,3,2,2.5,0.333333333,0.577350269,0.133333333,0.230940108
-2.2356606,53.4591668,-4.20265E+18,33,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2657535,53.4546094,-8.24971E+18,143,2,0,0,0,0.5,1,1,2,2
-2.2657647,53.456407,4.72045E+18,116,2,0,0,0,0.5,1,1,2,2
-2.1258941,53.5186568,-1.95331E+18,61,1,0,0,0,0.25,0.25,0.5,1,2
-2.1259261,53.5294428,-2.44444E+18,17,0,0,0,1,0.25,0.25,0.5,1,2
-2.2640356,53.4204568,-7.34067E+17,79,1,7,2,6,4,8.666666667,2.943920289,2.166666667,0.735980072
-2.2640802,53.4276475,-2.07024E+18,85,2,0,5,3,2.5,4.333333333,2.081665999,1.733333333,0.8326664
-2.2642197,53.4501185,6.15443E+18,101,0,0,1,0,0.25,0.25,0.5,1,2
-2.2340358,53.4375976,4.48099E+18,113,1,2,2,1,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.2340803,53.4456872,-2.30882E+17,75,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2341298,53.4546756,7.75608E+18,178,4,1,2,3,2.5,1.666666667,1.290994449,0.666666667,0.516397779
-2.2341347,53.4555744,7.19836E+18,183,2,0,1,3,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2625752,53.4276508,-8.45515E+18,56,2,2,1,3,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.262614,53.4339427,1.29211E+18,27,0,0,0,1,0.25,0.25,0.5,1,2
-2.2626196,53.4348416,2.04947E+18,77,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2627084,53.449223,-1.63504E+17,98,0,0,0,1,0.25,0.25,0.5,1,2
-2.1244334,53.5348374,9.75951E+17,189,0,0,0,1,0.25,0.25,0.5,1,2
